,Region,Number of Taxa
0,ABT,2000
1,AFG,4638
2,AGE,6139
3,AGS,2518
4,AGW,5835
5,ALA,4118
6,ALB,3721
7,ALD,246
8,ALG,4008
9,ALT,2823
10,ALU,402
11,AMU,1608
12,AND,2251
13,ANG,6553
14,ANT,4
15,ARI,4133
16,ARK,2888
17,ARU,358
18,ASC,209
19,ASK,1655
20,ASP,88
21,ASS,7263
22,ATP,262
23,AUT,4685
24,AZO,1067
25,BAH,1382
26,BAL,1752
27,BAN,5084
28,BEN,2616
29,BER,545
30,BGM,2900
31,BIS,1804
32,BKN,2038
33,BLR,1784
34,BLT,2722
35,BLZ,3820
36,BOL,15493
37,BOR,12341
38,BOT,2632
39,BRC,3163
40,BRY,2095
41,BUL,4451
42,BUR,2975
43,BZC,10257
44,BZE,11983
45,BZL,18961
46,BZN,13849
47,BZS,9114
48,CAB,958
49,CAF,3899
50,CAL,7275
51,CAY,758
52,CBD,4251
53,CGS,228
54,CHA,2350
55,CHC,21205
56,CHH,3914
57,CHI,2965
58,CHM,2619
59,CHN,5874
60,CHQ,2276
61,CHS,12636
62,CHT,7335
63,CHX,3598
64,CKI,134
65,CLC,3496
66,CLM,26197
67,CLN,1914
68,CLS,1671
69,CMN,7508
70,CNT,2565
71,CNY,2552
72,COL,3345
73,COM,1495
74,CON,4161
75,COO,702
76,COR,2442
77,COS,11398
78,CPI,262
79,CPP,16640
80,CPV,613
81,CRL,1576
82,CRZ,72
83,CTA,1588
84,CTM,529
85,CUB,7030
86,CVI,769
87,CYP,1846
88,CZE,4721
89,DEL,2081
90,DEN,2352
91,DJI,836
92,DOM,4772
93,DSV,59
94,EAI,2312
95,EAS,175
96,ECU,19353
97,EGY,1853
98,EHM,8746
99,ELS,4066
100,EQG,1677
101,ERI,2039
102,ETH,5602
103,FAL,333
104,FIJ,2261
105,FIN,3227
106,FLA,4455
107,FOR,453
108,FRA,7620
109,FRG,5330
110,GAB,5308
111,GAL,894
112,GAM,988
113,GEO,3830
114,GER,7350
115,GGI,2333
116,GHA,3408
117,GIL,255
118,GNB,1588
119,GNL,629
120,GRB,5343
121,GRC,5737
122,GST,874
123,GUA,8765
124,GUI,3906
125,GUY,6569
126,HAI,4362
127,HAW,2730
128,HBI,16
129,HMD,12
130,HON,7183
131,HUN,2971
132,ICE,892
133,IDA,2933
134,ILL,3372
135,IND,9360
136,INI,2650
137,IOW,2054
138,IRE,2435
139,IRK,1864
140,IRN,8488
141,IRQ,3294
142,ITA,7055
143,IVO,4014
144,JAM,3747
145,JAP,6309
146,JAW,6248
147,JNF,465
148,KAM,1278
149,KAN,2201
150,KAZ,5584
151,KEG,94
152,KEN,6940
153,KER,234
154,KGZ,4072
155,KHA,2080
156,KOR,3933
157,KRA,2310
158,KRI,2133
159,KRY,2570
160,KTY,2828
161,KUR,1227
162,KUW,385
163,KZN,256
164,LAB,849
165,LAO,5663
166,LBR,2864
167,LBS,4257
168,LBY,2024
169,LDV,254
170,LEE,2834
171,LES,1837
172,LIN,188
173,LOU,3142
174,LSI,3426
175,MAG,1387
176,MAI,2319
177,MAN,1703
178,MAQ,52
179,MAS,2936
180,MAU,1843
181,MCI,98
182,MCS,27
183,MDG,12316
184,MDR,1489
185,MDV,257
186,MIC,2807
187,MIN,2393
188,MLI,2002
189,MLW,4932
190,MLY,9472
191,MNT,2717
192,MOL,3475
193,MON,3088
194,MOR,4627
195,MOZ,5827
196,MPE,39
197,MRN,1071
198,MRQ,674
199,MRS,357
200,MRY,3323
201,MSI,2912
202,MSO,2837
203,MTN,1129
204,MXC,7968
205,MXE,11771
206,MXG,8206
207,MXI,362
208,MXN,7476
209,MXS,14741
210,MXT,9738
211,MYA,11792
212,NAM,3980
213,NAT,5624
214,NBR,1597
215,NCA,3827
216,NCB,1483
217,NCS,4386
218,NDA,1442
219,NEB,1870
220,NEP,6754
221,NET,2440
222,NEV,3237
223,NFK,732
224,NFL,1422
225,NGA,5057
226,NGR,1178
227,NIC,6182
228,NLA,600
229,NNS,2120
230,NOR,3790
231,NRU,218
232,NSC,1612
233,NSW,7155
234,NTA,4469
235,NUE,453
236,NUN,643
237,NWC,3968
238,NWG,13942
239,NWH,2098
240,NWJ,2880
241,NWM,3994
242,NWT,1155
243,NWY,3950
244,NZN,2593
245,NZS,2768
246,OFS,2967
247,OGA,501
248,OHI,2836
249,OKL,2751
250,OMA,1443
251,ONT,3113
252,ORE,4216
253,PAK,5123
254,PAL,3082
255,PAN,10572
