,Region,Number of Taxa
256,PAR,5565
257,PEI,998
258,PEN,3263
259,PER,21585
260,PHI,9899
261,PHX,74
262,PIT,204
263,POL,3541
264,POR,3248
265,PRM,2692
266,PUE,3349
267,QLD,9410
268,QUE,2640
269,REU,1727
270,RHO,1865
271,ROD,419
272,ROM,4067
273,RUC,2646
274,RUE,2823
275,RUN,2171
276,RUS,2478
277,RUW,1786
278,RWA,2855
279,SAK,1463
280,SAM,1205
281,SAR,2351
282,SAS,1632
283,SAU,2233
284,SCA,3389
285,SCI,1140
286,SCS,300
287,SCZ,331
288,SDA,1767
289,SEL,113
290,SEN,2342
291,SEY,731
292,SGE,72
293,SIC,2868
294,SIE,2891
295,SIN,1303
296,SOA,4025
297,SOC,855
298,SOL,2507
299,SOM,3271
300,SPA,8060
301,SRL,4442
302,SSA,2
303,STH,434
304,SUD,4239
305,SUL,4897
306,SUM,7791
307,SUR,4684
308,SVA,216
309,SWC,355
310,SWE,4623
311,SWI,3907
312,SWZ,2791
313,TAI,5547
314,TAN,10301
315,TAS,2669
316,TCI,460
317,TCS,5987
318,TDC,230
319,TEN,3142
320,TEX,5677
321,THA,11905
322,TKM,2858
323,TOG,2210
324,TOK,171
325,TON,777
326,TRT,3655
327,TUA,395
328,TUB,633
329,TUE,2368
330,TUN,2768
331,TUR,10498
332,TUV,95
333,TVA,1812
334,TVL,5940
335,TZK,4631
336,UGA,5061
337,UKR,3738
338,URU,2978
339,UTA,3513
340,UZB,4328
341,VAN,1725
342,VEN,16900
343,VER,2438
344,VIC,4207
345,VIE,12810
346,VNA,1075
347,VRG,3479
348,WAK,99
349,WAL,428
350,WAS,3347
351,WAU,11574
352,WDC,1552
353,WHM,6431
354,WIN,2712
355,WIS,2639
356,WSA,412
357,WSB,2703
358,WVA,2382
359,WYO,2667
360,XMS,396
361,YAK,1942
362,YEM,2242
363,YUG,5852
364,YUK,1258
365,ZAI,9983
366,ZAM,6458
367,ZIM,5765
