,Region,Number of Taxa
313,TAI,4914
314,TAN,9772
315,TAS,1829
316,TCI,405
317,TCS,5646
318,TDC,99
319,TEN,2498
320,TEX,4839
321,THA,11437
322,TKM,2688
323,TOG,2028
324,TOK,70
325,TON,521
326,TRT,2569
327,TUA,152
328,TUB,375
329,TUE,2227
330,TUN,2411
331,TUR,10271
332,TUV,53
333,TVA,1718
334,TVL,5400
335,TZK,4347
336,UGA,4759
337,UKR,3295
338,URU,2599
339,UTA,3011
340,UZB,3963
341,VAN,1352
342,VEN,16360
343,VER,1689
344,VIC,3392
345,VIE,12156
346,VNA,827
347,VRG,2666
348,WAK,22
349,WAL,303
350,WAS,2512
351,WAU,10828
352,WDC,1099
353,WHM,5877
354,WIN,2037
355,WIS,1929
356,WSA,391
357,WSB,2438
358,WVA,1821
359,WYO,2316
360,XMS,215
361,YAK,1873
362,YEM,2073
363,YUG,5545
364,YUK,1133
365,ZAI,9565
366,ZAM,6219
367,ZIM,5309
