,Region,Number of Taxa
0,ABT,1673
1,AFG,4538
2,AGE,5401
3,AGS,2093
4,AGW,5411
5,ALA,3121
6,ALB,3509
7,ALD,198
8,ALG,3632
9,ALT,2654
10,ALU,370
11,AMU,1445
12,AND,1838
13,ANG,6228
14,ANT,3
15,ARI,3667
16,ARK,2230
17,ARU,287
18,ASC,37
19,ASK,1418
20,ASP,33
21,ASS,6639
22,ATP,212
23,AUT,3903
24,AZO,559
25,BAH,1086
26,BAL,1497
27,BAN,4276
28,BEN,2323
29,BER,197
30,BGM,2010
31,BIS,1720
32,BKN,1844
33,BLR,1479
34,BLT,1928
35,BLZ,3640
36,BOL,14936
37,BOR,12125
38,BOT,2500
39,BRC,2359
40,BRY,1926
41,BUL,4024
42,BUR,2832
43,BZC,10015
44,BZE,11694
45,BZL,18520
46,BZN,13645
47,BZS,8641
48,CAB,945
49,CAF,3688
50,CAL,5837
51,CAY,556
52,CBD,3943
53,CGS,54
54,CHA,2145
55,CHC,20692
56,CHH,3635
57,CHI,2793
58,CHM,2489
59,CHN,5627
60,CHQ,2224
61,CHS,11899
62,CHT,7230
63,CHX,3492
64,CKI,76
65,CLC,3037
66,CLM,25496
67,CLN,1761
68,CLS,1388
69,CMN,7136
70,CNT,1754
71,CNY,1694
72,COL,2810
73,COM,1108
74,CON,3996
75,COO,296
76,COR,2210
77,COS,10837
78,CPI,210
79,CPP,15913
80,CPV,605
81,CRL,1037
82,CRZ,22
83,CTA,1533
84,CTM,364
85,CUB,6150
86,CVI,537
87,CYP,1654
88,CZE,3675
89,DEL,1590
90,DEN,1812
91,DJI,777
92,DOM,3981
93,DSV,28
94,EAI,2119
95,EAS,41
96,ECU,18736
97,EGY,1607
98,EHM,8265
99,ELS,3625
100,EQG,1606
101,ERI,1842
102,ETH,5207
103,FAL,183
104,FIJ,1715
105,FIN,2791
106,FLA,3196
107,FOR,368
108,FRA,6587
109,FRG,5162
110,GAB,5088
111,GAL,593
112,GAM,799
113,GEO,3106
114,GER,4503
115,GGI,1954
116,GHA,3177
117,GIL,96
118,GNB,1421
119,GNL,529
120,GRB,2987
121,GRC,5382
122,GST,732
123,GUA,8366
124,GUI,3572
125,GUY,6376
126,HAI,3726
127,HAW,1326
128,HBI,12
129,HMD,11
130,HON,6709
131,HUN,2562
132,ICE,789
133,IDA,2449
134,ILL,2333
135,IND,8184
136,INI,2043
137,IOW,1609
138,IRE,1444
139,IRK,1737
140,IRN,8365
141,IRQ,3123
142,ITA,6174
143,IVO,3791
144,JAM,3087
145,JAP,5528
146,JAW,5426
147,JNF,263
148,KAM,1162
149,KAN,1747
150,KAZ,5368
151,KEG,32
152,KEN,6429
153,KER,128
154,KGZ,3933
155,KHA,1876
156,KOR,3266
157,KRA,2203
158,KRI,1968
159,KRY,2271
160,KTY,2143
161,KUR,1137
162,KUW,360
163,KZN,181
164,LAB,730
165,LAO,5378
166,LBR,2732
167,LBS,4069
168,LBY,1821
169,LDV,184
170,LEE,2090
171,LES,1643
172,LIN,50
173,LOU,2367
174,LSI,3108
175,MAG,1261
176,MAI,1673
177,MAN,1380
178,MAQ,42
179,MAS,1882
180,MAU,1005
181,MCI,71
182,MCS,10
183,MDG,11943
184,MDR,817
185,MDV,154
186,MIC,2039
187,MIN,1876
188,MLI,1859
189,MLW,4738
190,MLY,8913
191,MNT,2257
192,MOL,3373
193,MON,3031
194,MOR,4227
195,MOZ,5501
196,MPE,24
197,MRN,472
198,MRQ,367
199,MRS,125
200,MRY,2235
201,MSI,2340
202,MSO,2169
203,MTN,1012
204,MXC,7558
205,MXE,11436
206,MXG,7937
207,MXI,280
208,MXN,7068
209,MXS,14243
210,MXT,9360
211,MYA,11103
212,NAM,3821
213,NAT,5131
214,NBR,1152
215,NCA,2997
216,NCB,1235
217,NCS,4161
218,NDA,1142
219,NEB,1483
220,NEP,6401
221,NET,1939
222,NEV,2879
223,NFK,361
224,NFL,1011
225,NGA,4796
226,NGR,1078
227,NIC,5892
228,NLA,483
229,NNS,1839
230,NOR,3195
231,NRU,57
232,NSC,1121
233,NSW,6100
234,NTA,4163
235,NUE,216
236,NUN,625
237,NWC,3374
238,NWG,13559
239,NWH,1563
240,NWJ,2034
241,NWM,3500
242,NWT,1060
243,NWY,2450
244,NZN,1493
245,NZS,1940
246,OFS,2606
247,OGA,350
248,OHI,2035
249,OKL,2341
250,OMA,1315
251,ONT,2239
252,ORE,3286
253,PAK,4634
254,PAL,2816
255,PAN,10270
256,PAR,5360
257,PEI,709
258,PEN,2224
259,PER,21062
260,PHI,9479
261,PHX,28
262,PIT,119
263,POL,2962
264,POR,2724
265,PRM,2122
266,PUE,2400
267,QLD,8417
268,QUE,1977
269,REU,999
270,RHO,1348
271,ROD,206
272,ROM,3590
273,RUC,2131
274,RUE,2551
275,RUN,1907
276,RUS,2177
277,RUW,1536
278,RWA,2632
279,SAK,1257
280,SAM,860
281,SAR,2093
282,SAS,1313
283,SAU,2070
284,SCA,2700
285,SCI,624
286,SCS,210
287,SCZ,303
288,SDA,1460
289,SEL,98
290,SEN,2109
291,SEY,415
292,SGE,23
293,SIC,2559
294,SIE,2684
295,SIN,1249
296,SOA,3231
297,SOC,806
298,SOL,2313
299,SOM,3168
300,SPA,7097
301,SRL,3753
302,SSA,2
303,STH,87
304,SUD,4013
305,SUL,4731
306,SUM,7562
307,SUR,4515
308,SVA,200
309,SWC,264
310,SWE,3890
311,SWI,3428
312,SWZ,2632
