accepted_family,Species Count,Genus Count
Marattiaceae,191,6.0
Olacaceae,184,29.0
Achariaceae,180,32.0
Cupressaceae,179,30.0
Haloragaceae,169,8.0
Hypoxidaceae,166,5.0
Sabiaceae,165,3.0
Costaceae,163,8.0
Gleicheniaceae,163,8.0
Styracaceae,163,12.0
Icacinaceae,159,23.0
Escalloniaceae,158,8.0
Rhizophoraceae,155,15.0
Portulacaceae,154,1.0
Ophioglossaceae,146,4.0
Hydrocharitaceae,145,14.0
Marcgraviaceae,137,7.0
Haemodoraceae,132,16.0
Buxaceae,129,6.0
Simaroubaceae,127,20.0
Alismataceae,123,18.0
Cannabaceae,122,10.0
Cycadaceae,119,1.0
Resedaceae,118,11.0
Hamamelidaceae,115,27.0
Cornaceae,114,2.0
Tamaricaceae,113,4.0
Peraceae,107,5.0
Elaeagnaceae,107,3.0
Nymphaeaceae,101,5.0
Musaceae,101,3.0
Clethraceae,100,2.0
Molluginaceae,99,11.0
Picrodendraceae,98,25.0
Rapateaceae,97,17.0
Tropaeolaceae,96,1.0
Winteraceae,95,5.0
Casuarinaceae,91,4.0
Frankeniaceae,86,1.0
Juglandaceae,85,9.0
Schisandraceae,84,3.0
Bruniaceae,81,6.0
Stemonuraceae,80,12.0
Pedaliaceae,79,11.0
Ephedraceae,75,1.0
Chloranthaceae,75,4.0
Typhaceae,74,2.0
Menyanthaceae,73,6.0
Sarcolaenaceae,72,10.0
Hernandiaceae,70,4.0
Humiriaceae,67,8.0
Gunneraceae,66,1.0
Metteniusaceae,66,11.0
Ulmaceae,65,7.0
Triuridaceae,64,8.0
Balanophoraceae,62,16.0
Anacampserotaceae,61,3.0
Brunelliaceae,60,1.0
Aponogetonaceae,60,1.0
Elatinaceae,59,2.0
Marsileaceae,58,3.0
Picramniaceae,57,4.0
Anisophylleaceae,57,4.0
Siparunaceae,54,2.0
Sarraceniaceae,54,3.0
Myricaceae,52,3.0
Mazaceae,50,4.0
Rafflesiaceae,50,3.0
Calyceraceae,47,8.0
Pontederiaceae,47,2.0
Staphyleaceae,45,3.0
Caricaceae,44,6.0
Gnetaceae,44,1.0
Lardizabalaceae,43,7.0
Nothofagaceae,42,1.0
Paeoniaceae,42,1.0
Equisetaceae,41,1.0
Cardiopteridaceae,41,5.0
Stilbaceae,40,12.0
Stemonaceae,39,4.0
Penaeaceae,39,3.0
Bonnetiaceae,38,3.0
Opiliaceae,38,11.0
Schlegeliaceae,38,4.0
Araucariaceae,38,3.0
Asteliaceae,37,3.0
Nyssaceae,37,5.0
Nartheciaceae,37,5.0
Paracryphiaceae,36,3.0
Francoaceae,36,8.0
Juncaginaceae,35,3.0
Phytolaccaceae,34,4.0
Schoepfiaceae,34,3.0
Trigoniaceae,33,5.0
Lowiaceae,32,1.0
Pentaphragmataceae,32,1.0
Daphniphyllaceae,31,1.0
Tofieldiaceae,30,4.0
Taxaceae,30,5.0
Hypodematiaceae,30,2.0
Talinaceae,29,2.0
Osmundaceae,28,4.0
Saccolomataceae,28,1.0
Bixaceae,27,3.0
Corsiaceae,27,3.0
Garryaceae,27,2.0
Tecophilaeaceae,27,9.0
Caryocaraceae,26,2.0
Argophyllaceae,25,2.0
Limeaceae,25,1.0
Hanguanaceae,23,1.0
Canellaceae,23,5.0
Iteaceae,23,2.0
Hydrostachyaceae,22,1.0
Petiveriaceae,22,9.0
Dipentodontaceae,21,2.0
Salviniaceae,21,2.0
Ancistrocladaceae,20,1.0
Gyrostemonaceae,20,5.0
Sphaerosepalaceae,20,2.0
Dasypogonaceae,20,4.0
Didiereaceae,20,6.0
Zosteraceae,19,2.0
Diapensiaceae,19,6.0
Basellaceae,19,4.0
Cymodoceaceae,18,6.0
Lacistemataceae,18,2.0
Psilotaceae,18,2.0
Ixonanthaceae,18,3.0
Pandaceae,17,3.0
Coriariaceae,17,1.0
Nitrariaceae,17,4.0
Krameriaceae,17,1.0
Atherospermataceae,17,7.0
Rousseaceae,15,4.0
Myodocarpaceae,15,2.0
Altingiaceae,15,1.0
Hydroleaceae,14,1.0
Gelsemiaceae,14,3.0
Martyniaceae,14,5.0
Boryaceae,13,2.0
Hydatellaceae,13,1.0
Moringaceae,13,1.0
Irvingiaceae,12,4.0
Crypteroniaceae,12,3.0
Ruppiaceae,12,1.0
Cannaceae,12,1.0
Cytinaceae,12,2.0
Apodanthaceae,12,2.0
Strelitziaceae,12,3.0
Calycanthaceae,11,3.0
Peridiscaceae,11,4.0
Paulowniaceae,11,3.0
Torricelliaceae,11,3.0
Fouquieriaceae,11,1.0
Dipteridaceae,11,2.0
Cyrillaceae,11,2.0
Platanaceae,10,1.0
Achatocarpaceae,10,2.0
Stachyuraceae,10,1.0
Microteaceae,10,1.0
Phellinaceae,10,1.0
Salvadoraceae,10,3.0
Alseuosmiaceae,10,4.0
Limnanthaceae,9,2.0
Centroplacaceae,9,2.0
Macarthuriaceae,9,1.0
Posidoniaceae,9,1.0
Balanopaceae,9,1.0
Surianaceae,9,5.0
Kewaceae,8,1.0
Misodendraceae,8,1.0
Neuradaceae,8,3.0
Asteropeiaceae,8,1.0
Trimeniaceae,8,1.0
Columelliaceae,8,2.0
Byblidaceae,8,1.0
Cephalotaxaceae,8,1.0
Gisekiaceae,7,1.0
Crossosomataceae,7,4.0
Cabombaceae,7,2.0
Griseliniaceae,7,1.0
Lophiocarpaceae,7,2.0
Tapisciaceae,6,2.0
Thomandersiaceae,6,1.0
Philydraceae,6,3.0
Saururaceae,6,4.0
Ceratophyllaceae,6,1.0
Kirkiaceae,6,1.0
Ripogonaceae,6,1.0
Ixioliriaceae,5,1.0
Mayacaceae,5,1.0
Vahliaceae,5,1.0
Phyllonomaceae,5,1.0
Montiniaceae,5,3.0
Acoraceae,5,1.0
Carlemanniaceae,5,2.0
Corynocarpaceae,5,1.0
Flagellariaceae,5,1.0
Tetrameristaceae,4,3.0
Matoniaceae,4,2.0
Thurniaceae,4,2.0
Huaceae,4,2.0
Pennantiaceae,4,1.0
Campynemataceae,4,2.0
Helwingiaceae,4,1.0
Blandfordiaceae,4,1.0
Stegnospermataceae,4,1.0
Berberidopsidaceae,4,2.0
Biebersteiniaceae,4,1.0
Petrosaviaceae,3,2.0
Grubbiaceae,3,1.0
Sladeniaceae,3,2.0
Eupomatiaceae,3,1.0
Ecdeiocoleaceae,3,2.0
Dioncophyllaceae,3,3.0
Tetrachondraceae,3,2.0
Rhabdodendraceae,3,1.0
Euphroniaceae,3,1.0
Muntingiaceae,3,3.0
Joinvilleaceae,3,1.0
Ctenolophonaceae,2,1.0
Goupiaceae,2,1.0
Philesiaceae,2,2.0
Doryanthaceae,2,1.0
Butomaceae,2,1.0
Cercidiphyllaceae,2,1.0
Sphenocleaceae,2,1.0
Tovariaceae,2,1.0
Trochodendraceae,2,2.0
Mitrastemonaceae,2,1.0
Gerrardinaceae,2,1.0
Bataceae,2,1.0
Lonchitidaceae,2,1.0
Cystodiaceae,2,1.0
Koeberliniaceae,2,1.0
Degeneriaceae,2,1.0
Akaniaceae,2,2.0
Aphanopetalaceae,2,1.0
Quillajaceae,2,1.0
Roridulaceae,2,1.0
Tetramelaceae,2,2.0
Strasburgeriaceae,2,2.0
Nelumbonaceae,2,1.0
Physenaceae,2,1.0
Penthoraceae,2,1.0
Oncothecaceae,2,1.0
Dirachmaceae,2,1.0
Xeronemataceae,2,1.0
Eupteleaceae,2,1.0
Sarcobataceae,2,1.0
Datiscaceae,2,1.0
Circaeasteraceae,2,2.0
Myrothamnaceae,2,1.0
Lepidobotryaceae,2,2.0
Curtisiaceae,1,1.0
Petermanniaceae,1,1.0
Petenaeaceae,1,1.0
Lanariaceae,1,1.0
Pentadiplandraceae,1,1.0
Guamatelaceae,1,1.0
Scheuchzeriaceae,1,1.0
Maundiaceae,1,1.0
Ginkgoaceae,1,1.0
Drosophyllaceae,1,1.0
Simmondsiaceae,1,1.0
Setchellanthaceae,1,1.0
Aphloiaceae,1,1.0
Cynomoriaceae,1,1.0
Ticodendraceae,1,1.0
Himantandraceae,1,1.0
Plocospermataceae,1,1.0
Eucommiaceae,1,1.0
Emblingiaceae,1,1.0
Lophopyxidaceae,1,1.0
Tiganophytaceae,1,1.0
Cephalotaceae,1,1.0
Tetracarpaeaceae,1,1.0
Welwitschiaceae,1,1.0
Cochlospermaceae,1,
Thismiaceae,1,1.0
Geissolomataceae,1,1.0
Sciadopityaceae,1,1.0
Aextoxicaceae,1,1.0
Gomortegaceae,1,1.0
Barbeyaceae,1,1.0
Austrobaileyaceae,1,1.0
Alzateaceae,1,1.0
Barbeuiaceae,1,1.0
Amborellaceae,1,1.0
Halophytaceae,1,1.0
