accepted_family,Species Count,Genus Count
Asteraceae,35483,1731.0
Orchidaceae,31892,730.0
Fabaceae,22808,805.0
Rubiaceae,14400,627.0
Poaceae,12484,840.0
Lamiaceae,8295,227.0
Apocynaceae,6758,388.0
Euphorbiaceae,6587,230.0
Myrtaceae,6404,130.0
Cyperaceae,6073,96.0
Melastomataceae,6033,169.0
Rosaceae,5936,106.0
Malvaceae,5608,251.0
Acanthaceae,5603,208.0
Araceae,4890,151.0
Ericaceae,4761,122.0
Polypodiaceae,4578,68.0
Brassicaceae,4258,358.0
Ranunculaceae,4071,49.0
Gesneriaceae,4070,158.0
Apiaceae,3996,457.0
Piperaceae,3892,5.0
Bromeliaceae,3787,81.0
Asparagaceae,3628,126.0
Aspleniaceae,3534,24.0
Boraginaceae,3515,154.0
Primulaceae,3432,55.0
Lauraceae,3422,58.0
Caryophyllaceae,3403,105.0
Solanaceae,2887,103.0
Iridaceae,2632,70.0
Annonaceae,2606,107.0
Amaryllidaceae,2571,70.0
Arecaceae,2539,185.0
Campanulaceae,2526,96.0
Amaranthaceae,2420,181.0
Scrophulariaceae,2324,60.0
Orobanchaceae,2287,99.0
Rutaceae,2230,148.0
Plantaginaceae,2210,104.0
Begoniaceae,2181,2.0
Urticaceae,2128,59.0
Phyllanthaceae,2106,59.0
Zingiberaceae,2042,59.0
Cactaceae,2033,178.0
Sapindaceae,1988,143.0
Convolvulaceae,1986,56.0
Gentianaceae,1903,105.0
Proteaceae,1871,75.0
Crassulaceae,1864,39.0
Aizoaceae,1815,121.0
Araliaceae,1715,46.0
Polygonaceae,1638,59.0
Salicaceae,1621,51.0
Malpighiaceae,1496,71.0
Pteridaceae,1494,27.0
Sapotaceae,1379,73.0
Celastraceae,1371,99.0
Polygalaceae,1333,30.0
Moraceae,1316,47.0
Violaceae,1309,25.0
Asphodelaceae,1269,42.0
Rhamnaceae,1230,64.0
Eriocaulaceae,1225,8.0
Balsaminaceae,1192,2.0
Fagaceae,1192,8.0
Plumbaginaceae,1141,20.0
Santalaceae,1134,40.0
Caprifoliaceae,1127,34.0
Passifloraceae,1083,31.0
Loranthaceae,1079,77.0
Cucurbitaceae,1072,95.0
Papaveraceae,1066,43.0
Vitaceae,1040,20.0
Thymelaeaceae,970,52.0
Verbenaceae,950,33.0
Anacardiaceae,944,82.0
Pandanaceae,934,5.0
Saxifragaceae,913,40.0
Clusiaceae,910,18.0
Bignoniaceae,890,79.0
Ebenaceae,820,3.0
Liliaceae,817,15.0
Cyatheaceae,817,14.0
Geraniaceae,806,7.0
Onagraceae,802,22.0
Elaeocarpaceae,791,12.0
Commelinaceae,785,36.0
Meliaceae,778,58.0
Aristolochiaceae,776,8.0
Burseraceae,772,18.0
Oleaceae,772,27.0
Selaginellaceae,752,1.0
Berberidaceae,739,13.0
Oxalidaceae,699,5.0
Lythraceae,698,28.0
Dioscoreaceae,658,4.0
Ochnaceae,646,37.0
Hypericaceae,639,6.0
Dilleniaceae,617,11.0
Marantaceae,590,27.0
Hymenophyllaceae,590,2.0
Combretaceae,589,10.0
Aquifoliaceae,577,1.0
Restionaceae,554,48.0
Menispermaceae,554,80.0
Pentaphylacaceae,549,12.0
Chrysobalanaceae,548,27.0
Myristicaceae,547,21.0
Dipterocarpaceae,540,22.0
Juncaceae,535,7.0
Loganiaceae,507,16.0
Goodeniaceae,475,7.0
Actinidiaceae,473,3.0
Nyctaginaceae,465,32.0
Lycopodiaceae,464,3.0
Lentibulariaceae,453,3.0
Capparaceae,442,15.0
Calophyllaceae,438,13.0
Polemoniaceae,436,27.0
Symplocaceae,412,1.0
Xyridaceae,410,5.0
Lecythidaceae,401,30.0
Theaceae,388,8.0
Magnoliaceae,381,2.0
Podostemaceae,363,53.0
Loasaceae,337,22.0
Cunoniaceae,337,27.0
Linderniaceae,330,21.0
Stylidiaceae,329,5.0
Pittosporaceae,324,9.0
Velloziaceae,320,7.0
Colchicaceae,304,15.0
Zygophyllaceae,296,21.0
Cistaceae,295,8.0
Linaceae,284,9.0
Erythroxylaceae,283,4.0
Dennstaedtiaceae,282,8.0
Monimiaceae,279,26.0
Droseraceae,277,3.0
Calceolariaceae,274,2.0
Pinaceae,271,11.0
Montiaceae,271,17.0
Lindsaeaceae,270,7.0
Smilacaceae,268,1.0
Alstroemeriaceae,265,4.0
Zamiaceae,259,9.0
Burmanniaceae,256,13.0
Vochysiaceae,249,9.0
Connaraceae,243,16.0
Cyclanthaceae,242,12.0
Isoetaceae,239,1.0
Viburnaceae,233,3.0
Phrymaceae,230,15.0
Hydrangeaceae,228,9.0
Cleomaceae,226,2.0
Putranjivaceae,224,2.0
Nepenthaceae,218,1.0
Betulaceae,212,6.0
Dichapetalaceae,210,3.0
Schizaeaceae,209,3.0
Heliconiaceae,204,1.0
Podocarpaceae,199,20.0
Grossulariaceae,198,1.0
Melanthiaceae,194,14.0
Potamogetonaceae,193,5.0
