accepted_family,Species Count,Genus Count
Asteraceae,35225,1729
Orchidaceae,31562,730
Fabaceae,22688,807
Rubiaceae,14355,622
Poaceae,12391,836
Lamiaceae,8227,224
Apocynaceae,6706,389
Euphorbiaceae,6555,230
Myrtaceae,6378,130
Cyperaceae,6049,96
Melastomataceae,5987,169
Rosaceae,5843,111
Malvaceae,5571,249
Acanthaceae,5521,209
Ericaceae,4712,122
Araceae,4593,150
Polypodiaceae,4519,69
Brassicaceae,4241,356
Ranunculaceae,4023,49
Gesneriaceae,3978,154
Apiaceae,3965,454
Piperaceae,3870,5
Bromeliaceae,3722,79
Asparagaceae,3552,126
Boraginaceae,3502,154
Aspleniaceae,3461,25
Primulaceae,3412,55
Lauraceae,3408,58
Caryophyllaceae,3398,105
Solanaceae,2872,103
Iridaceae,2609,69
Annonaceae,2574,107
Amaryllidaceae,2534,70
Arecaceae,2521,186
Campanulaceae,2517,96
Amaranthaceae,2410,180
Scrophulariaceae,2322,60
Orobanchaceae,2276,99
Rutaceae,2221,150
Plantaginaceae,2208,104
Begoniaceae,2131,2
Urticaceae,2118,59
Phyllanthaceae,2097,58
Zingiberaceae,2007,58
Cactaceae,2001,179
Sapindaceae,1995,143
Convolvulaceae,1974,57
Gentianaceae,1897,105
Proteaceae,1875,75
Crassulaceae,1822,39
Aizoaceae,1799,120
Araliaceae,1687,46
Salicaceae,1617,51
Polygonaceae,1606,59
Malpighiaceae,1494,71
Pteridaceae,1489,27
Sapotaceae,1367,74
Celastraceae,1364,99
Polygalaceae,1329,30
Moraceae,1306,47
Violaceae,1288,25
Asphodelaceae,1264,42
Rhamnaceae,1227,65
Eriocaulaceae,1214,8
Fagaceae,1185,8
Balsaminaceae,1172,2
Plumbaginaceae,1140,20
Santalaceae,1134,40
Caprifoliaceae,1120,34
Loranthaceae,1076,78
Cucurbitaceae,1065,100
Papaveraceae,1062,43
Passifloraceae,1061,31
Vitaceae,1036,20
Thymelaeaceae,969,52
Verbenaceae,945,33
Anacardiaceae,942,81
Pandanaceae,932,5
Saxifragaceae,909,40
Clusiaceae,898,18
Bignoniaceae,888,79
Cyatheaceae,817,14
Ebenaceae,813,3
Geraniaceae,811,7
Liliaceae,804,15
Onagraceae,800,22
Elaeocarpaceae,791,12
Commelinaceae,777,36
Meliaceae,772,58
Burseraceae,770,18
Oleaceae,763,27
Aristolochiaceae,760,8
Selaginellaceae,747,1
Berberidaceae,737,13
Lythraceae,700,28
Oxalidaceae,685,5
Dioscoreaceae,658,4
Ochnaceae,643,37
Hypericaceae,636,6
Dilleniaceae,615,11
Hymenophyllaceae,588,2
Marantaceae,587,28
Combretaceae,587,10
Aquifoliaceae,576,1
Restionaceae,554,48
Menispermaceae,554,81
Chrysobalanaceae,547,27
Pentaphylacaceae,542,12
Myristicaceae,541,21
Dipterocarpaceae,538,22
Juncaceae,530,7
Loganiaceae,505,16
Goodeniaceae,472,7
Lycopodiaceae,462,3
Nyctaginaceae,462,32
Actinidiaceae,450,3
Lentibulariaceae,448,3
Capparaceae,438,15
Calophyllaceae,438,13
Polemoniaceae,433,27
Symplocaceae,411,1
Xyridaceae,410,5
Lecythidaceae,394,30
Magnoliaceae,377,2
Theaceae,375,8
Podostemaceae,362,53
Cunoniaceae,337,27
Loasaceae,335,22
Stylidiaceae,329,5
Linderniaceae,327,20
Pittosporaceae,324,9
Velloziaceae,316,7
Colchicaceae,296,15
Zygophyllaceae,295,21
Cistaceae,292,8
Linaceae,284,9
Erythroxylaceae,283,4
Dennstaedtiaceae,282,8
Monimiaceae,279,26
Droseraceae,276,3
Calceolariaceae,274,2
Montiaceae,270,17
Lindsaeaceae,270,7
Pinaceae,269,11
Smilacaceae,267,1
Alstroemeriaceae,261,4
Zamiaceae,259,9
Burmanniaceae,251,13
Vochysiaceae,249,9
Cyclanthaceae,242,12
Connaraceae,241,12
Isoetaceae,236,1
Viburnaceae,233,3
Phrymaceae,230,15
Hydrangeaceae,228,9
Cleomaceae,226,2
Putranjivaceae,221,2
Nepenthaceae,212,1
Betulaceae,212,6
Schizaeaceae,209,3
Dichapetalaceae,209,3
Heliconiaceae,204,1
Podocarpaceae,199,20
Grossulariaceae,198,1
Potamogetonaceae,193,5
Melanthiaceae,192,14
Marattiaceae,188,6
Olacaceae,184,29
Achariaceae,178,31
Cupressaceae,177,30
Haloragaceae,169,8
Hypoxidaceae,166,5
Sabiaceae,164,3
Costaceae,163,8
Styracaceae,163,12
Gleicheniaceae,163,8
Escalloniaceae,158,8
Icacinaceae,158,23
Rhizophoraceae,155,15
Portulacaceae,153,1
Ophioglossaceae,145,4
Hydrocharitaceae,143,14
Marcgraviaceae,136,7
Buxaceae,129,6
Simaroubaceae,126,20
Alismataceae,122,18
Cannabaceae,121,10
Cycadaceae,119,1
Resedaceae,118,11
Haemodoraceae,117,15
Hamamelidaceae,115,27
Cornaceae,113,2
Tamaricaceae,113,4
Elaeagnaceae,107,3
Peraceae,107,5
Nymphaeaceae,101,5
Clethraceae,100,2
Picrodendraceae,98,25
Musaceae,98,3
Rapateaceae,97,17
Molluginaceae,97,11
Tropaeolaceae,97,1
