accepted_family,Species Count,Genus Count
Winteraceae,95,5
Casuarinaceae,91,4
Juglandaceae,84,9
Frankeniaceae,84,1
Schisandraceae,84,3
Bruniaceae,81,6
Pedaliaceae,79,11
Stemonuraceae,79,12
Ephedraceae,75,1
Chloranthaceae,75,4
Typhaceae,74,2
Menyanthaceae,73,6
Sarcolaenaceae,72,10
Hernandiaceae,70,4
Humiriaceae,67,8
Metteniusaceae,66,11
Ulmaceae,65,7
Gunneraceae,65,1
Triuridaceae,64,8
Balanophoraceae,61,16
Anacampserotaceae,61,3
Brunelliaceae,60,1
Aponogetonaceae,60,1
Elatinaceae,58,2
Marsileaceae,58,3
Anisophylleaceae,57,4
Siparunaceae,54,2
Picramniaceae,54,4
Sarraceniaceae,54,3
Myricaceae,52,3
Rafflesiaceae,50,3
Mazaceae,49,4
Pontederiaceae,47,2
Calyceraceae,47,8
Staphyleaceae,45,3
Caricaceae,44,6
Gnetaceae,44,1
Paeoniaceae,42,1
Nothofagaceae,42,1
Cardiopteridaceae,41,5
Equisetaceae,41,1
Lardizabalaceae,41,7
Stilbaceae,40,12
Stemonaceae,39,4
Penaeaceae,39,3
Bonnetiaceae,38,3
Schlegeliaceae,38,4
Araucariaceae,38,3
Opiliaceae,38,11
Nartheciaceae,37,5
Asteliaceae,37,3
Nyssaceae,37,5
Francoaceae,36,8
Paracryphiaceae,36,3
Juncaginaceae,35,3
Schoepfiaceae,34,3
Phytolaccaceae,34,4
Trigoniaceae,33,5
Lowiaceae,32,1
Pentaphragmataceae,32,1
Daphniphyllaceae,31,1
Taxaceae,30,5
Tofieldiaceae,30,4
Osmundaceae,28,4
Saccolomataceae,28,1
Talinaceae,28,2
Hypodematiaceae,27,2
Tecophilaeaceae,27,9
Bixaceae,27,3
Corsiaceae,27,3
Garryaceae,27,2
Caryocaraceae,26,2
Limeaceae,25,1
Argophyllaceae,25,2
Canellaceae,23,5
Hanguanaceae,23,1
Iteaceae,23,2
Hydrostachyaceae,22,1
Petiveriaceae,22,9
Salviniaceae,21,2
Dipentodontaceae,21,2
Didymochlaenaceae,21,1
Psilotaceae,20,2
Sphaerosepalaceae,20,2
Gyrostemonaceae,20,5
Didiereaceae,20,6
Dasypogonaceae,20,4
Ancistrocladaceae,20,1
Zosteraceae,19,2
Basellaceae,19,4
Diapensiaceae,19,6
Cymodoceaceae,18,6
Ixonanthaceae,18,3
Krameriaceae,17,1
Lacistemataceae,17,2
Nitrariaceae,17,4
Pandaceae,17,3
Coriariaceae,17,1
Atherospermataceae,17,7
Myodocarpaceae,15,2
Rousseaceae,15,4
Altingiaceae,15,1
Gelsemiaceae,14,3
Martyniaceae,14,5
Hydroleaceae,14,1
Hydatellaceae,13,1
Moringaceae,13,1
Boryaceae,13,2
Crypteroniaceae,12,3
Irvingiaceae,12,4
Apodanthaceae,12,2
Cytinaceae,12,2
Strelitziaceae,12,3
Ruppiaceae,12,1
Cannaceae,12,1
Peridiscaceae,11,4
Fouquieriaceae,11,1
Cyrillaceae,11,2
Paulowniaceae,11,3
Dipteridaceae,11,2
Torricelliaceae,11,3
Calycanthaceae,11,3
Microteaceae,10,1
Stachyuraceae,10,1
Platanaceae,10,1
Achatocarpaceae,10,2
Alseuosmiaceae,10,4
Salvadoraceae,10,3
Phellinaceae,10,1
Posidoniaceae,9,1
Limnanthaceae,9,2
Balanopaceae,9,1
Macarthuriaceae,9,1
Surianaceae,9,5
Centroplacaceae,9,2
Cephalotaxaceae,8,1
Asteropeiaceae,8,1
Columelliaceae,8,2
Byblidaceae,8,1
Kewaceae,8,1
Trimeniaceae,8,1
Misodendraceae,8,1
Neuradaceae,8,3
Gisekiaceae,7,1
Crossosomataceae,7,4
Griseliniaceae,7,1
Cabombaceae,7,2
Lophiocarpaceae,7,2
Ceratophyllaceae,6,1
Saururaceae,6,4
Ripogonaceae,6,1
Kirkiaceae,6,1
Philydraceae,6,3
Thomandersiaceae,6,1
Tapisciaceae,6,2
Flagellariaceae,5,1
Mayacaceae,5,1
Corynocarpaceae,5,1
Vahliaceae,5,1
Montiniaceae,5,3
Carlemanniaceae,5,2
Phyllonomaceae,5,1
Ixioliriaceae,5,1
Pennantiaceae,4,1
Biebersteiniaceae,4,1
Tetrameristaceae,4,3
Thurniaceae,4,2
Acoraceae,4,1
Helwingiaceae,4,1
Blandfordiaceae,4,1
Berberidopsidaceae,4,2
Stegnospermataceae,4,1
Matoniaceae,4,2
Huaceae,4,2
Campynemataceae,4,2
Ecdeiocoleaceae,3,2
Joinvilleaceae,3,1
Grubbiaceae,3,1
Petrosaviaceae,3,2
Sladeniaceae,3,2
Eupomatiaceae,3,1
Tetrachondraceae,3,2
Euphroniaceae,3,1
Dioncophyllaceae,3,3
Rhabdodendraceae,3,1
Muntingiaceae,3,3
Ctenolophonaceae,2,1
Philesiaceae,2,2
Xeronemataceae,2,1
Butomaceae,2,1
Bataceae,2,1
Koeberliniaceae,2,1
Sphenocleaceae,2,1
Goupiaceae,2,1
Eupteleaceae,2,1
Aphanopetalaceae,2,1
Sarcobataceae,2,1
Cystodiaceae,2,1
Lepidobotryaceae,2,2
Circaeasteraceae,2,2
Doryanthaceae,2,1
Trochodendraceae,2,2
Lonchitidaceae,2,1
Degeneriaceae,2,1
Physenaceae,2,1
Akaniaceae,2,2
Dirachmaceae,2,1
Nelumbonaceae,2,1
Strasburgeriaceae,2,2
Cercidiphyllaceae,2,1
Tetramelaceae,2,2
Oncothecaceae,2,1
Penthoraceae,2,1
Roridulaceae,2,1
Tovariaceae,2,1
Myrothamnaceae,2,1
Gerrardinaceae,2,1
Mitrastemonaceae,2,1
Quillajaceae,2,1
Datiscaceae,2,1
Ginkgoaceae,1,1
Curtisiaceae,1,1
Scheuchzeriaceae,1,1
Cephalotaceae,1,1
Barbeyaceae,1,1
Austrobaileyaceae,1,1
Barbeuiaceae,1,1
Maundiaceae,1,1
Thismiaceae,1,1
Drosophyllaceae,1,1
Halophytaceae,1,1
Tetracarpaeaceae,1,1
Lophopyxidaceae,1,1
Plocospermataceae,1,1
Tiganophytaceae,1,1
Simmondsiaceae,1,1
Petenaeaceae,1,1
Setchellanthaceae,1,1
Geissolomataceae,1,1
Ticodendraceae,1,1
Lanariaceae,1,1
Aphloiaceae,1,1
Emblingiaceae,1,1
Gomortegaceae,1,1
Eucommiaceae,1,1
Sciadopityaceae,1,1
Cynomoriaceae,1,1
Himantandraceae,1,1
Pentadiplandraceae,1,1
Petermanniaceae,1,1
Welwitschiaceae,1,1
Alzateaceae,1,1
Aextoxicaceae,1,1
Amborellaceae,1,1
Guamatelaceae,1,1
