,Region,Number of Taxa
315,TAS,1829
316,TCI,405
317,TCS,5639
318,TDC,98
319,TEN,2496
320,TEX,4833
321,THA,11376
322,TKM,2679
323,TOG,2028
324,TOK,70
325,TON,519
326,TRT,2567
327,TUA,152
328,TUB,376
329,TUE,2227
330,TUN,2409
331,TUR,10200
332,TUV,53
333,TVA,1705
334,TVL,5385
335,TZK,4343
336,UGA,4756
337,UKR,3285
338,URU,2593
339,UTA,2999
340,UZB,3929
341,VAN,1352
342,VEN,16335
343,VER,1692
344,VIC,3385
345,VIE,12045
346,VNA,827
347,VRG,2672
348,WAK,22
349,WAL,303
350,WAS,2508
351,WAU,10795
352,WDC,1099
353,WHM,5832
354,WIN,2036
355,WIS,1928
356,WSA,392
357,WSB,2411
358,WVA,1821
359,WYO,2313
360,XMS,215
361,YAK,1872
362,YEM,2074
363,YUG,5505
364,YUK,1130
365,ZAI,9546
366,ZAM,6215
367,ZIM,5312
368,nep,1
