,Region,Number of Taxa
0,ABT,1662
1,AFG,4523
2,AGE,5374
3,AGS,2094
4,AGW,5391
5,ALA,3069
6,ALB,3493
7,ALD,199
8,ALG,3612
9,ALT,2623
10,ALU,366
11,AMU,1440
12,AND,1817
13,ANG,6210
14,ANT,3
15,ARI,3627
16,ARK,2204
17,ARU,287
18,ASC,36
19,ASK,1403
20,ASP,31
21,ASS,6452
22,ATP,207
23,AUT,3862
24,AZO,561
25,BAH,1085
26,BAL,1472
27,BAN,4156
28,BEN,2320
29,BER,198
30,BGM,2027
31,BIS,1689
32,BKN,1844
33,BLR,1476
34,BLT,1754
35,BLZ,3633
36,BOL,14869
37,BOR,11993
38,BOT,2495
39,BRC,2340
40,BRY,1813
41,BUL,4010
42,BUR,2809
43,BZC,9901
44,BZE,11507
45,BZL,18308
46,BZN,13502
47,BZS,8580
48,CAB,940
49,CAF,3681
50,CAL,5755
51,CAY,554
52,CBD,3935
53,CGS,53
54,CHA,2148
55,CHC,20318
56,CHH,3621
57,CHI,2779
58,CHM,2479
59,CHN,5574
60,CHQ,2204
61,CHS,11586
62,CHT,7115
63,CHX,3467
64,CKI,76
65,CLC,3029
66,CLM,25023
67,CLN,1752
68,CLS,1376
69,CMN,7109
70,CNT,1750
71,CNY,1645
72,COL,2779
73,COM,1108
74,CON,3983
75,COO,295
76,COR,2197
77,COS,10743
78,CPI,208
79,CPP,15813
80,CPV,603
81,CRL,1037
82,CRZ,22
83,CTA,1531
84,CTM,361
85,CUB,6154
86,CVI,534
87,CYP,1641
88,CZE,3653
89,DEL,1578
90,DEN,1820
91,DJI,775
92,DOM,3961
93,DSV,28
94,EAI,2113
95,EAS,40
96,ECU,18399
97,EGY,1609
98,EHM,7972
99,ELS,3532
100,EQG,1506
101,ERI,1841
102,ETH,5191
103,FAL,183
104,FIJ,1710
105,FIN,2780
106,FLA,3176
107,FOR,359
108,FRA,6496
109,FRG,5155
110,GAB,5078
111,GAL,594
112,GAM,800
113,GEO,3053
114,GER,4310
115,GGI,1946
116,GHA,3164
117,GIL,96
118,GNB,1419
119,GNL,524
120,GRB,2987
121,GRC,5350
122,GST,726
123,GUA,8324
124,GUI,3556
125,GUY,6353
126,HAI,3718
127,HAW,1309
128,HBI,12
129,HMD,11
130,HON,6701
131,HUN,2561
132,ICE,787
133,IDA,2425
134,ILL,2323
135,IND,8024
136,INI,2023
137,IOW,1593
138,IRE,1437
139,IRK,1720
140,IRN,8248
141,IRQ,3103
142,ITA,6107
143,IVO,3777
144,JAM,3086
145,JAP,5499
146,JAW,5406
147,JNF,263
148,KAM,1150
149,KAN,1744
150,KAZ,5318
151,KEG,32
152,KEN,6402
153,KER,129
154,KGZ,3915
155,KHA,1869
156,KOR,3234
157,KRA,2172
158,KRI,1957
159,KRY,2251
160,KTY,2124
161,KUR,1140
162,KUW,360
163,KZN,182
164,LAB,724
165,LAO,5168
166,LBR,2726
167,LBS,3880
168,LBY,1817
169,LDV,183
170,LEE,2080
171,LES,1639
172,LIN,50
173,LOU,2348
174,LSI,3088
175,MAG,1253
176,MAI,1657
177,MAN,1370
178,MAQ,42
179,MAS,1869
180,MAU,1003
181,MCI,71
182,MCS,10
183,MDG,11807
184,MDR,813
185,MDV,154
186,MIC,2022
187,MIN,1877
188,MLI,1851
189,MLW,4727
190,MLY,8892
191,MNT,2242
192,MOL,3342
193,MON,3005
194,MOR,4182
195,MOZ,5491
196,MPE,24
197,MRN,471
198,MRQ,366
199,MRS,124
200,MRY,2233
201,MSI,2317
202,MSO,2155
203,MTN,1004
204,MXC,7531
205,MXE,11353
206,MXG,7888
207,MXI,277
208,MXN,7025
209,MXS,14115
210,MXT,9297
211,MYA,9634
212,NAM,3810
213,NAT,5111
214,NBR,1138
215,NCA,2960
216,NCB,1266
217,NCS,4124
218,NDA,1129
219,NEB,1469
220,NEP,6241
221,NET,1931
222,NEV,2842
223,NFK,360
224,NFL,1014
225,NGA,4788
226,NGR,1073
227,NIC,5872
228,NLA,482
229,NNS,1834
230,NOR,3199
231,NRU,57
232,NSC,1116
233,NSW,5999
234,NTA,4109
235,NUE,216
236,NUN,621
237,NWC,3347
238,NWG,13439
239,NWH,1550
240,NWJ,2014
241,NWM,3487
242,NWT,1049
243,NWY,2446
244,NZN,1498
245,NZS,1938
246,OFS,2608
247,OGA,349
248,OHI,2015
249,OKL,2316
250,OMA,1312
251,ONT,2217
252,ORE,3271
253,PAK,4596
254,PAL,2793
255,PAN,10138
256,PAR,5326
257,PEI,704
258,PEN,2200
259,PER,20765
260,PHI,9376
261,PHX,28
262,PIT,118
263,POL,2954
264,POR,2681
265,PRM,2123
266,PUE,2394
267,QLD,8336
268,QUE,1969
269,REU,992
270,RHO,1347
271,ROD,208
272,ROM,3557
273,RUC,2073
274,RUE,2549
275,RUN,1912
276,RUS,2167
277,RUW,1535
278,RWA,2559
279,SAK,1261
280,SAM,861
281,SAR,2074
282,SAS,1304
283,SAU,2050
284,SCA,2652
285,SCI,621
286,SCS,210
287,SCZ,298
288,SDA,1448
289,SEL,96
290,SEN,2100
291,SEY,416
292,SGE,23
293,SIC,2545
294,SIE,2670
295,SIN,1240
296,SOA,3211
297,SOC,801
298,SOL,2298
299,SOM,3139
300,SPA,6939
301,SRL,3716
302,SSA,2
303,STH,90
304,SUD,4009
305,SUL,4693
306,SUM,7503
307,SUR,4483
308,SVA,199
309,SWC,265
310,SWE,3888
311,SWI,3405
312,SWZ,2621
313,TAI,4716
314,TAN,9733
315,TAS,1816
316,TCI,406
317,TCS,5636
318,TDC,98
319,TEN,2481
320,TEX,4809
321,THA,11172
322,TKM,2680
323,TOG,2026
324,TOK,70
325,TON,520
326,TRT,2571
327,TUA,154
328,TUB,378
329,TUE,2223
330,TUN,2388
331,TUR,10114
332,TUV,53
333,TVA,1701
334,TVL,5359
335,TZK,4348
336,UGA,4742
337,UKR,3276
338,URU,2579
339,UTA,2981
340,UZB,3923
341,VAN,1350
342,VEN,16295
343,VER,1670
344,VIC,3369
345,VIE,11883
346,VNA,828
347,VRG,2647
348,WAK,22
349,WAL,304
350,WAS,2487
351,WAU,10699
352,WDC,1089
353,WHM,5676
354,WIN,2026
355,WIS,1920
356,WSA,392
357,WSB,2397
358,WVA,1802
359,WYO,2288
360,XMS,215
361,YAK,1870
362,YEM,2069
363,YUG,5469
364,YUK,1120
365,ZAI,9472
366,ZAM,6192
367,ZIM,5284
