,Region,Number of Native Taxa,Number of Taxa,Number Introduced Taxa,Proportion Introduced Taxa
0,ABT,1672,1998,326,16.316316316316314
1,AFG,4530,4630,100,2.159827213822894
2,AGE,5390,6126,736,12.014365001632386
3,AGS,2089,2513,424,16.872264226024672
4,AGW,5400,5823,423,7.2642967542503865
5,ALA,3109,4106,997,24.281539210910864
6,ALB,3498,3708,210,5.6634304207119746
7,ALD,198,246,48,19.51219512195122
8,ALG,3631,4006,375,9.360958562156766
9,ALT,2626,2766,140,5.061460592913955
10,ALU,369,401,32,7.98004987531172
11,AMU,1445,1607,162,10.080896079651524
12,AND,1835,2249,414,18.40818141396176
13,ANG,6219,6544,325,4.96638141809291
14,ANT,3,4,1,25.0
15,ARI,3659,4125,466,11.296969696969697
16,ARK,2227,2882,655,22.727272727272727
17,ARU,287,358,71,19.832402234636874
18,ASC,36,208,172,82.6923076923077
19,ASK,1417,1654,237,14.328899637243047
20,ASP,32,87,55,63.2183908045977
21,ASS,6592,7211,619,8.584107613368465
22,ATP,212,262,50,19.083969465648856
23,AUT,3893,4673,780,16.69163278407875
24,AZO,559,1065,506,47.51173708920188
25,BAH,1088,1384,296,21.38728323699422
26,BAL,1496,1751,255,14.563106796116504
27,BAN,4235,5043,808,16.02220900257783
28,BEN,2323,2616,293,11.200305810397554
29,BER,197,545,348,63.853211009174316
30,BGM,2003,2886,883,30.5959805959806
31,BIS,1711,1794,83,4.626532887402453
32,BKN,1844,2038,194,9.519136408243375
33,BLR,1478,1782,304,17.059483726150393
34,BLT,1930,2720,790,29.044117647058826
35,BLZ,3639,3819,180,4.713275726630008
36,BOL,14888,15445,557,3.6063450955001617
37,BOR,12060,12275,215,1.7515274949083504
38,BOT,2500,2632,132,5.015197568389058
39,BRC,2357,3157,800,25.340513145391196
40,BRY,1852,1932,80,4.140786749482402
41,BUL,4021,4445,424,9.53880764904387
42,BUR,2834,2977,143,4.8034934497816595
43,BZC,9969,10208,239,2.3413009404388716
44,BZE,11616,11903,287,2.4111568512139794
45,BZL,18396,18834,438,2.3255813953488373
46,BZN,13576,13779,203,1.4732564046737788
47,BZS,8612,9084,472,5.195948921180097
48,CAB,945,958,13,1.3569937369519833
49,CAF,3688,3899,211,5.411644011284944
50,CAL,5807,7243,1436,19.826038934143313
51,CAY,556,758,202,26.649076517150394
52,CBD,3940,4247,307,7.228631975512126
53,CGS,54,228,174,76.31578947368422
54,CHA,2145,2350,205,8.72340425531915
55,CHC,20519,21033,514,2.4437788237531497
56,CHH,3625,3905,280,7.170294494238156
57,CHI,2785,2957,172,5.816706121068651
58,CHM,2484,2614,130,4.973221117061974
59,CHN,5602,5849,247,4.222944093007352
60,CHQ,2213,2265,52,2.295805739514349
61,CHS,11745,12483,738,5.912040374909877
62,CHT,7190,7295,105,1.439342015078821
63,CHX,3481,3587,106,2.9551156955673266
64,CKI,76,134,58,43.28358208955223
65,CLC,3024,3483,459,13.178294573643413
66,CLM,25233,25932,699,2.6955113373438224
67,CLN,1754,1907,153,8.023072889355008
68,CLS,1389,1672,283,16.925837320574164
69,CMN,7119,7490,371,4.953271028037383
70,CNT,1755,2564,809,31.55226209048362
71,CNY,1670,2439,769,31.529315293152933
72,COL,2798,3333,535,16.051605160516054
73,COM,1103,1490,387,25.973154362416107
74,CON,3990,4155,165,3.9711191335740073
75,COO,294,700,406,57.99999999999999
76,COR,2206,2437,231,9.478867459991793
77,COS,10803,11363,560,4.928275983455074
78,CPI,209,261,52,19.923371647509576
79,CPP,15851,16577,726,4.37956204379562
80,CPV,606,614,8,1.3029315960912053
81,CRL,1036,1575,539,34.22222222222222
82,CRZ,22,72,50,69.44444444444444
83,CTA,1532,1584,52,3.2828282828282833
84,CTM,365,530,165,31.132075471698112
85,CUB,6161,7042,881,12.510650383413802
86,CVI,538,770,232,30.129870129870127
87,CYP,1652,1843,191,10.363537710255018
88,CZE,3651,4695,1044,22.236421725239616
89,DEL,1593,2083,490,23.523763802208354
90,DEN,1811,2349,538,22.90336313324819
91,DJI,777,836,59,7.057416267942583
92,DOM,3969,4762,793,16.652666946661064
93,DSV,28,59,31,52.54237288135594
94,EAI,2119,2311,192,8.308091735179577
95,EAS,41,175,134,76.57142857142857
96,ECU,18501,19118,617,3.227325033999372
97,EGY,1607,1852,245,13.228941684665227
98,EHM,8194,8672,478,5.5119926199261995
99,ELS,3623,4064,441,10.851377952755906
100,EQG,1604,1675,71,4.2388059701492535
101,ERI,1843,2040,197,9.65686274509804
102,ETH,5198,5593,395,7.062399427856249
103,FAL,183,333,150,45.04504504504504
104,FIJ,1711,2257,546,24.19140451927337
105,FIN,2780,3215,435,13.530326594090203
106,FLA,3190,4448,1258,28.282374100719426
107,FOR,369,454,85,18.722466960352424
108,FRA,6545,7575,1030,13.597359735973596
109,FRG,5156,5323,167,3.1373285741123427
110,GAB,5078,5297,219,4.134415707003964
111,GAL,593,894,301,33.66890380313199
112,GAM,799,988,189,19.129554655870447
113,GEO,3094,3817,723,18.941577154833638
114,GER,4475,7316,2841,38.83269546200109
115,GGI,1952,2331,379,16.25911625911626
116,GHA,3175,3406,231,6.782149148561362
117,GIL,96,255,159,62.35294117647059
118,GNB,1420,1587,167,10.522999369880278
119,GNL,529,629,100,15.89825119236884
120,GRB,2980,5320,2340,43.984962406015036
121,GRC,5377,5732,355,6.193300767620377
122,GST,731,834,103,12.350119904076738
123,GUA,8352,8751,399,4.559478916695235
124,GUI,3570,3904,334,8.55532786885246
125,GUY,6361,6554,193,2.9447665547757094
126,HAI,3715,4353,638,14.65655869515277
127,HAW,1317,2723,1406,51.63422695556371
128,HBI,12,16,4,25.0
129,HMD,11,12,1,8.333333333333332
130,HON,6708,7182,474,6.599832915622389
131,HUN,2559,2965,406,13.693086003372681
132,ICE,788,891,103,11.560044893378226
133,IDA,2443,2927,484,16.5357020840451
134,ILL,2336,3373,1037,30.7441446783279
135,IND,8128,9312,1184,12.714776632302405
136,INI,2039,2616,577,22.0565749235474
137,IOW,1609,2054,445,21.66504381694255
138,IRE,1444,2435,991,40.69815195071869
139,IRK,1725,1829,104,5.686167304537999
140,IRN,8323,8446,123,1.4563106796116505
141,IRQ,3122,3293,171,5.192833282720923
142,ITA,6155,7029,874,12.434201166595534
143,IVO,3791,4012,221,5.508474576271186
144,JAM,3088,3748,660,17.6093916755603
145,JAP,5511,6292,781,12.412587412587413
146,JAW,5403,6226,823,13.218760038548025
147,JNF,261,463,202,43.628509719222464
148,KAM,1161,1277,116,9.08379013312451
149,KAN,1745,2199,454,20.64574806730332
150,KAZ,5324,5536,212,3.8294797687861273
151,KEG,32,94,62,65.95744680851064
152,KEN,6422,6933,511,7.3705466608971575
153,KER,129,235,106,45.1063829787234
154,KGZ,3926,4063,137,3.371892690130446
155,KHA,1870,2073,203,9.792571152918475
156,KOR,3258,3925,667,16.99363057324841
157,KRA,2184,2282,98,4.294478527607362
158,KRI,1968,2130,162,7.605633802816901
159,KRY,2267,2558,291,11.376075058639563
160,KTY,2142,2826,684,24.203821656050955
161,KUR,1136,1226,90,7.3409461663947795
162,KUW,360,385,25,6.493506493506493
163,KZN,181,257,76,29.571984435797667
164,LAB,730,849,119,14.016489988221437
165,LAO,5281,5564,283,5.086268871315601
