,Region,Number of Native Taxa,Number of Taxa,Number Introduced Taxa,Proportion Introduced Taxa
166,LBR,2731,2863,132,4.610548375829549
167,LBS,3916,4071,155,3.8074183247359374
168,LBY,1818,2018,200,9.910802775024777
169,LDV,183,252,69,27.380952380952383
170,LEE,2086,2830,744,26.28975265017668
171,LES,1644,1838,194,10.55495103373232
172,LIN,50,188,138,73.40425531914893
173,LOU,2363,3137,774,24.673254701944533
174,LSI,3101,3418,317,9.27442949093037
175,MAG,1260,1384,124,8.959537572254336
176,MAI,1677,2322,645,27.77777777777778
177,MAN,1380,1703,323,18.966529653552556
178,MAQ,42,52,10,19.230769230769234
179,MAS,1886,2938,1052,35.80667120490129
180,MAU,1003,1840,837,45.48913043478261
181,MCI,70,97,27,27.835051546391753
182,MCS,10,27,17,62.96296296296296
183,MDG,11862,12230,368,3.008994276369583
184,MDR,817,1488,671,45.094086021505376
185,MDV,153,256,103,40.234375
186,MIC,2041,2808,767,27.314814814814813
187,MIN,1878,2394,516,21.553884711779446
188,MLI,1858,2001,143,7.146426786606696
189,MLW,4737,4931,194,3.934293246805922
190,MLY,8901,9457,556,5.879242888865391
191,MNT,2256,2715,459,16.906077348066297
192,MOL,3354,3456,102,2.951388888888889
193,MON,3009,3065,56,1.8270799347471451
194,MOR,4217,4617,400,8.663634394628547
195,MOZ,5499,5825,326,5.5965665236051505
196,MPE,24,39,15,38.46153846153847
197,MRN,472,1071,599,55.92903828197946
198,MRQ,364,671,307,45.75260804769001
199,MRS,125,357,232,64.9859943977591
200,MRY,2238,3324,1086,32.67148014440433
201,MSI,2335,2906,571,19.64900206469374
202,MSO,2169,2836,667,23.51904090267983
203,MTN,1010,1127,117,10.381543921916593
204,MXC,7547,7956,409,5.140774258421317
205,MXE,11414,11748,334,2.843037112700034
206,MXG,7906,8175,269,3.290519877675841
207,MXI,280,362,82,22.65193370165746
208,MXN,7060,7468,408,5.463310123192287
209,MXS,14190,14685,495,3.3707865168539324
210,MXT,9351,9729,378,3.885291396854764
211,MYA,9699,10151,452,4.452763274554231
212,NAM,3811,3970,159,4.005037783375315
213,NAT,5124,5616,492,8.76068376068376
214,NBR,1153,1597,444,27.802128991859735
215,NCA,2996,3824,828,21.652719665271967
216,NCB,1235,1484,249,16.778975741239893
217,NCS,4149,4367,218,4.991985344630181
218,NDA,1142,1442,300,20.804438280166433
219,NEB,1481,1868,387,20.717344753747323
220,NEP,6374,6729,355,5.275672462475851
221,NET,1939,2437,498,20.434961017644646
222,NEV,2865,3223,358,11.10766366739063
223,NFK,360,731,371,50.752393980848154
224,NFL,1012,1423,411,28.88264230498946
225,NGA,4794,5055,261,5.163204747774481
226,NGR,1079,1179,100,8.481764206955047
227,NIC,5894,6184,290,4.6895213454075035
228,NLA,483,600,117,19.5
229,NNS,1837,2119,282,13.308164228409627
230,NOR,3187,3781,594,15.710129595345146
231,NRU,57,218,161,73.85321100917432
232,NSC,1123,1612,489,30.33498759305211
233,NSW,6075,7126,1051,14.748807184956497
234,NTA,4148,4454,306,6.870229007633588
235,NUE,216,453,237,52.317880794701985
236,NUN,625,643,18,2.7993779160186625
237,NWC,3368,3962,594,14.992428066633012
238,NWG,13475,13857,382,2.7567294508190803
239,NWH,1566,2100,534,25.428571428571427
240,NWJ,2035,2879,844,29.315734630079888
241,NWM,3492,3986,494,12.393376818866031
242,NWT,1059,1154,95,8.232235701906413
243,NWY,2452,3951,1499,37.93976208554796
244,NZN,1494,2591,1097,42.338865302971826
245,NZS,1939,2766,827,29.89877078814172
246,OFS,2607,2968,361,12.163072776280323
247,OGA,348,500,152,30.4
248,OHI,2036,2834,798,28.158080451658435
249,OKL,2340,2749,409,14.878137504547109
250,OMA,1316,1443,127,8.8011088011088
251,ONT,2236,3108,872,28.056628056628057
252,ORE,3283,4212,929,22.056030389363723
253,PAK,4618,5107,489,9.575093009594674
254,PAL,2809,3075,266,8.65040650406504
255,PAN,10199,10501,302,2.875916579373393
256,PAR,5348,5552,204,3.674351585014409
257,PEI,710,998,288,28.857715430861724
258,PEN,2225,3262,1037,31.79031269160025
259,PER,20882,21406,524,2.447911800429786
260,PHI,9437,9857,420,4.260931317845186
261,PHX,28,74,46,62.16216216216216
262,PIT,118,203,85,41.87192118226601
263,POL,2958,3536,578,16.346153846153847
264,POR,2704,3223,519,16.10300961836798
265,PRM,2119,2681,562,20.962327489742634
266,PUE,2399,3347,948,28.32387212429041
267,QLD,8396,9384,988,10.528559249786872
268,QUE,1977,2638,661,25.05686125852919
269,REU,993,1720,727,42.26744186046511
270,RHO,1350,1864,514,27.57510729613734
271,ROD,206,419,213,50.83532219570406
272,ROM,3578,4053,475,11.719713792252652
273,RUC,2123,2632,509,19.338905775075986
274,RUE,2555,2824,269,9.525495750708215
275,RUN,1905,2139,234,10.93969144460028
276,RUS,2174,2472,298,12.055016181229773
277,RUW,1535,1782,247,13.860830527497194
278,RWA,2630,2853,223,7.81633368384157
279,SAK,1257,1453,196,13.48933241569167
280,SAM,859,1204,345,28.654485049833887
281,SAR,2087,2345,258,11.002132196162046
282,SAS,1312,1631,319,19.558553034947884
283,SAU,2072,2235,163,7.293064876957494
284,SCA,2689,3377,688,20.373112229789754
285,SCI,624,1140,516,45.26315789473684
286,SCS,210,300,90,30.0
287,SCZ,301,329,28,8.51063829787234
288,SDA,1458,1765,307,17.393767705382437
289,SEL,98,113,15,13.274336283185843
290,SEN,2108,2341,233,9.953011533532678
291,SEY,414,729,315,43.20987654320987
292,SGE,23,72,49,68.05555555555556
293,SIC,2561,2870,309,10.766550522648084
294,SIE,2681,2888,207,7.167590027700831
295,SIN,1247,1301,54,4.15065334358186
296,SOA,3222,4013,791,19.710939446797905
297,SOC,804,853,49,5.74443141852286
298,SOL,2307,2501,194,7.756897241103558
299,SOM,3166,3269,103,3.150810645457326
300,SPA,7059,8020,961,11.982543640897756
301,SRL,3746,4437,691,15.573585756141537
302,SSA,2,2,0,0.0
303,STH,88,435,347,79.77011494252874
304,SUD,4014,4240,226,5.330188679245283
305,SUL,4707,4873,166,3.406525754155551
306,SUM,7538,7765,227,2.9233741146168706
307,SUR,4505,4674,169,3.615746683782627
308,SVA,200,216,16,7.4074074074074066
309,SWC,264,355,91,25.633802816901408
310,SWE,3869,4598,729,15.85471944323619
311,SWI,3418,3896,478,12.26899383983573
312,SWZ,2626,2785,159,5.709156193895871
313,TAI,4827,5459,632,11.57721194357941
314,TAN,9756,10285,529,5.143412736995625
315,TAS,1829,2667,838,31.421072365954256
316,TCI,405,460,55,11.956521739130435
317,TCS,5639,5972,333,5.57602143335566
318,TDC,98,229,131,57.20524017467249
319,TEN,2496,3138,642,20.45889101338432
320,TEX,4833,5671,838,14.776935284782224
321,THA,11376,11843,467,3.943257620535337
322,TKM,2679,2849,170,5.967005967005967
323,TOG,2028,2209,181,8.19375282933454
324,TOK,70,171,101,59.06432748538012
325,TON,519,775,256,33.03225806451613
326,TRT,2567,3653,1086,29.728989871338623
327,TUA,152,395,243,61.518987341772146
328,TUB,376,634,258,40.694006309148264
329,TUE,2227,2367,140,5.914659907055345
330,TUN,2409,2765,356,12.875226039783003
331,TUR,10200,10425,225,2.158273381294964
332,TUV,53,95,42,44.21052631578947
333,TVA,1705,1742,37,2.123995407577497
334,TVL,5385,5925,540,9.113924050632912
335,TZK,4343,4625,282,6.097297297297297
336,UGA,4756,5058,302,5.970739422696718
337,UKR,3285,3710,425,11.455525606469003
338,URU,2593,2972,379,12.75235531628533
339,UTA,2999,3501,502,14.338760354184519
340,UZB,3929,4284,355,8.286647992530344
341,VAN,1352,1725,373,21.6231884057971
342,VEN,16335,16874,539,3.194263363754889
343,VER,1692,2440,748,30.655737704918035
344,VIC,3385,4198,813,19.36636493568366
345,VIE,12045,12702,657,5.172413793103448
346,VNA,827,1075,248,23.069767441860463
347,VRG,2672,3481,809,23.240448147084173
348,WAK,22,99,77,77.77777777777779
349,WAL,303,428,125,29.205607476635514
350,WAS,2508,3337,829,24.8426730596344
351,WAU,10795,11539,744,6.447699107374989
352,WDC,1099,1551,452,29.142488716956805
353,WHM,5832,6362,530,8.330713612071676
354,WIN,2036,2711,675,24.898561416451496
355,WIS,1928,2637,709,26.88661357603337
356,WSA,392,413,21,5.084745762711865
357,WSB,2411,2606,195,7.482732156561781
358,WVA,1821,2381,560,23.51952960940781
359,WYO,2313,2664,351,13.175675675675674
360,XMS,215,394,179,45.431472081218274
361,YAK,1872,1941,69,3.554868624420402
362,YEM,2074,2243,169,7.53455193936692
363,YUG,5505,5810,305,5.249569707401033
364,YUK,1130,1255,125,9.9601593625498
365,ZAI,9546,9963,417,4.1854862993074375
366,ZAM,6215,6454,239,3.7031298419584755
367,ZIM,5312,5768,456,7.905686546463246
368,nep,1,1,0,0.0
